Ссылка,Бренд,Название продукта,Цена,Рейтинг,Описание,Инструкция,Страна-производитель
https://goldapple.ru/19000331477-sago,Stereotype,Sago,8700,4.4,"Универсальный, но современный, LOEWE Earth Elixir переосмысливает и усиливает оригинальную парфюмерную воду LOEWE Earth.Этот унисекс-парфюм, созданный креативным директором LOEWE Джонатаном Андерсоном в сотрудничестве с  парфюмером бренда Нурией Круэльес, раскрывает цветочные, амбровые и мускусные ноты трюфеля, груши и уда, в сочетании с элеми, мимозой и фиалкой, подчеркнутые богатыми, необработанными и подлинными аспектами аккорда LOEWE — новой ноты, основанной на сложном, древесном аромате испанского ладанника и являющейся ароматической подписью LOEWE.Семейство LOEWE Earth объединяет материальное и нематериальное. Как и LOEWE, LOEWE Perfumes базируется в Мадриде, сохраняя испанское наследие бренда, его ремесленные традиции и новаторский дух.LOEWE Earth Elixir заключен в фирменный стеклянный флакон в форме блока сиреневого оттенка с текстурированной деревянной крышкой.","Небольшое количество нанести на тело, избегая попадания в глаза.","страна происхождения Испания изготовитель: MIXER & PACK, S. L.,Испания, Carretera de Azuqueca, 9, 28880, Meco, Madrid, Spain"
https://goldapple.ru/99000051751-kepler-51d,NICHEEND,KEPLER-51D,16800,5,"Плутон - карликовая планета в поясе Койпера, представляющая собой область ледяных тел в форме пончика за орбитой Нептуна.На Плутоне, который меньше земной Луны, есть ледник в форме сердца, который представляет собой мир с голубым небом, вращающимися лунами, горами высотой со Скалистые горы и снегом, но снег этот - красный.Этот парфюм, созданный по мотивам красного снега, выпадающего на Плутоне, обогащен идеальным сочетанием гвоздики и апельсина с лилией и жасмином, сплетенным с великолепным ветивером.","Нанести на кожу, избегая попадания в глаза. Для более полного раскрытия аромата рекомендуется нанести его на точки пульса на шее, зоне декольте и запястьях.","страна происхождения Турция Продавец ООО ФРАГРАНС ИМПОРТ КО ОГРН / ОГРНИП 1247700565078 Юридический адрес Москва, 127410,ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ АЛТУФЬЕВСКИЙ, Ш АЛТУФЬЕВСКОЕ, Д. 79А, СТР. 3, ПОМЕЩ. 4А/3/2"
https://goldapple.ru/19000279937-good-girl-blush-elixir,Carolina Herrera,Good Girl BLUSH ELIXIR,9267,4.9,"BVLGARI MAN RAIN ESSENCE — ода преобразующей и восстанавливающей силе дождя.Ощутите непреодолимую и созидательную энергию природного явления через свежую, древесно-мускусную композицию.Сочетание зеленого чая и апельсина, мускуса и белого лотоса, гваякового дерева и амбры оставляет бодрящий и чистый по звучанию, как летний дождь, шлейф.",Только для наружного применения.,"страна происхождения Италия изготовитель: ""BULGARI GLOBAL OPERATIONS S.A."", адрес: 34, Rue de Monruz, CH-2000 Neuchâtel, Швейцария."
https://goldapple.ru/99000009839-quentin-03,SYNONYME,QUENTIN [03],7130,5,"Знаешь это ощущение, когда солнечный свет касается металла — тёплый, сильный, почти золотой на коже? Аромат именно такой. Он только твой, как внутренняя уверенность, которая не нуждается в громких словах. The One Gold Intense — не о том, чтобы быть замеченным. Он — о том, чтобы быть прочувствованным. В его глубине — сила и спокойствие, как присутствие, которое остаётся, даже когда ты уходишь.На коже он начинается с яркой искры итальянского бергамота и пряного красного имбиря. Затем раскрывается смолистой теплотой мускатного шалфея и кардамона — насыщенно, но сдержанно. И наконец, в шлейфе — амбровое дерево, ветивер с Гаити и пачули, создающие утончённое, уверенное основание. Лучше всего звучит в прохладные вечера и тихие встречи, когда воздух становится плотнее, а время — медленнее.","Наносите на шею, за уши, на запястья и другие пульсовые точки.",страна происхождения Италия
https://goldapple.ru/19000342845-guidance,Amouage,Guidance,19968,5,"Синоним праздниĸа жизни.Взрыв дофамина в опьяняющем ĸоĸтейле изысĸанной гурманиĸи. Возбуждает аппетит ĸ ярĸой жизни, наполненной росĸошью, соблазнами и на время снятыми запретами.","Аромат можно наносить на волосы, кожу, одежду.","страна происхождения Россия Продавец ИП Визер Мария Владимировна ОГРН / ОГРНИП 320774600441471 Юридический адрес Москва, , ул. Пырьева, д. 24, кв./офис 41"
https://goldapple.ru/19000121829-songin-the-wind,THOMAS KOSMALA,Songin The Wind,15757,4.7,"Мы давно мечтали создать продукт, который бы передавал твое настроение без слов. Парфюмерная коллекция FOR ME — это ароматы, с которыми ты можешь подчеркнуть то, что хочешь прямо сейчас. Парфюмерные композиции были произведены во Франции.MESMERIZE ME — это звенящий, как зимний день, аромат, построенный на контрастах: энергия и смелость сплетаются с мягкостью в гармоничное звучание. Дерзкий аккорд холодного черного перца задает яркое начало: за ним раскрывается теплота амбры, которую окружают густой ладан и бархатистая замша. Древесные ноты акигалавуда в базе оттеняют чистоту амброксана и напоминают, что истинная сила — в балансе противоположностей.Стильный флакон объемом 100 мл украсит твою коллекцию парфюмов и станет главным акцентом на полке.","Распылите на кожу с расстояния 20–30 см.Не подвергать воздействию прямых солнечных лучей.Беречь от источников тепла, огня.","страна происхождения Франция изготовитель: LABORATOIRES CADENTIA, 16 Avenue du Labbe, Zi des Paluds, 13400 AUBAGNE, Франция."
https://goldapple.ru/99000021901-tobacco-vanilla,AREA|HOME,Tobacco Vanilla,744,4.3,"Abracadabra - это аромат, основанный на уникальной идее, воплощённой в утончённой композиции. Его главная цель - создать ощущение ""дорого-богато"", но без перегруженности сотнями нот, без излишнего эпатажа или эффекта, будто вы надели всё самое лучшее сразу. Это аромат, который сочетает стойкость без тяжести и исключительное качество без компромиссов.Он задуман как идеальный унисекс, к которому хочется тянуться снова и снова. Он универсален: подойдёт для зимних дней и для тёплого летнего вечера, будь то прогулка или встреча. Это парфюм, который гармонично сочетается с любым моментом вашей жизни.","Два пшика на запястья - по одному на каждую руку. Два пшика позади шеи, это позволить аромату шлейфить и при этом не душить. Один пшик на грудь.","страна происхождения Россия изготовитель: Духи by MAF Abracadabra 7,7 мл Продавец ООО ФЕТИШ ПАРФЮМ ОГРН / ОГРНИП 1197847196623 Юридический адрес Санкт-Петербург, , ул. ПР-КТ ЕКАТЕРИНИНСКИЙ, Д. 2, СТР. 1, ПОМЕЩ. 66-Н, КОМ. 1"
https://goldapple.ru/19760305902-room-service,Vilhelm Parfumerie,ROOM SERVICE,13650,4.8,"Словно легкий весенний ветер, аромат LANVIN навевает воспоминания о светлой первой любви. Романтичная, свежая и воздушная композиция передает сияние этого чувства с помощью изысканных нот нежной сирени и бархатистого персика.Древесное звучание кедра и мягкий мускус делают композицию более чувственной, яркой и многогранной.",Только для наружного применения.,"изготовитель: ""INTERPARFUMS"", адрес: 10 rue de Solférino, 75007 Paris, Франция."
https://goldapple.ru/83140800001-heroine,Boadicea The Victorious,Heroine,52275,4.5,"Аромат FIGUE BLANCHE вызывает ассоциации с тёплым и солнечным Средиземноморским летом. Пленительная и согревающая композиция ATELIER VERSACE с солирующей нотой инжира раскрывает разные грани. С одной стороны — кремовая сладость спелого, согретого средиземноморским солнцем фрукта. С другой — бодрящая свежесть зелени. Дуэт бергамота и итальянского мандарина в окружении обольстительных нероли и жасмина придаёт аромату пикантное и яркое звучание. Парфюмер – Мэрипьер Жульен.Ключевые ноты: инжир, итальянский мандарин",Инструкция отсутствует,"страна происхождения Италия изготовитель: «EUROITALIA S.R.L», адрес: Via Galileo Galilei 5, 20873 Cavenago di Brianza (MB), Италия"
https://goldapple.ru/19000010701-les-eaux-d-un-instant-profound-orange-wood,ANGEL SCHLESSER,LES EAUX D’UN INSTANT Profound Orange Wood,4732,3.5,"Томный и теплый парфюм #16 Praline + Cognac вдохновлен трепетным жгучим страстным ароматом выдержанного пряного коньяка. Парфюмерная композиция содержит жгучие пряные солнечные ноты коньяка, восточные акценты соблазнительной сладкой корицы и пудровой нежной ванили, элегантные древесные оттенки дуба и восточные дымные аккорды сладковато-пряных экзотических бобов тонка.",Распылить на расстоянии 10-20 см. от тела.,"страна происхождения Россия Продавец ПАРФЮМЕРИЯ XXI ВЕКА ООО ОГРН / ОГРНИП 1027739149448 Юридический адрес Москва, ул. Каховка, дом 10, корпус 3, помещение II"
https://goldapple.ru/19000252421-tajnyj-sovetnik,Овсянников,Тайный советник,2406,4.4,"Созданная Карин Дюбрей и Майей Лерну из японского парфюмерного Дома Tagasako, композиция Ginza гармонично сочетает в себе традиции японской парфюмерии и истинно современное прочтение.Композиция раскрывается ярким сиянием искрящихся нот граната и пикантностью нот розового перца. Сердце аромата благоухает самыми восхитительными гранями жасмина. Три цветка сплетаются, создавая изысканно отточенное звучание теплой и свежей, легкой и пьянящей чувственности.Магнолия и фрезия кружатся в вихре лепестков. Японская орхидея придает цветочному букету штрих таинственности. Цветочная чувственность аромата становится неожиданно мощной, словно отточенной древесными нотами Хиноки.Священный японский кипарис придает композиции неподражаемый почерк, одновременной сильный и нежный, с легкой камфорной нотой. Его самая раскаленная грань эхом перекликается с глубиной сандаловой древесины и интенсивностью пачулей.На коже аромат обретает совершенно неповторимое, женственное и проникновенное звучание.","Распылите парфюмерную воду на пульсирующие точки: запястья, под ушами и вокруг шеи.Чтобы продлить и усилить ваш аромат, сочетайте его со средствами по уходу за телом из банной линии Ginza.","страна происхождения Франция изготовитель: «BEAUTE PRESTIGE INTERNATIONAL S.A.S.», адрес: 56/A, rue du Faubourg Saint-Honore, 75008 Paris, Франция."
https://goldapple.ru/19000235131-blossom,Halloween,Blossom,3414,4.2,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.Эрез РозенЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,страна происхождения Россия
https://goldapple.ru/19000291064-l-ame-slave,State Of Mind,L'Ame Slave,20586,4.7,"Изысканный женский аромат BRUNELLO CUCINELLI напоминает о расслабляющих прогулках свежим и солнечным утром. В этой гармоничной композиции найден идеальный баланс между вневременной элегантностью и утонченной, нарочитой простотой.Верхние ноты, в которых переливаются свежие цитрусовые и пряные грани, деликатно уступают место кремовому сердцу аромата. В нем аккорд каштана сочетается с современными древесными и дымчато-землистыми нотами. Насыщенное смолистое звучание, чистота мускуса и теплые амбровые тона делают базу аромата глубокой и мягкой.",Инструкция отсутствует,страна происхождения Италия
https://goldapple.ru/19000234763-dubai,BY KAORI,Dubai,3890,4,"Благодаря союзу изысканного древесно-кожаного аккорда с фруктовыми оттенками черной смородины и итальянского бергамота, изящной розой и ""жарким"" марокканским жасмином, Parana отражает утонченную индивидуальность своего обладателя, подчеркивая его элегантный стиль.","Распылите с расстояния 20–25 см, избегая попадания на одежду.",страна происхождения Италия Продавец Солинг ООО ОГРН / ОГРНИП 1126722000591
https://goldapple.ru/19000268524-her-london-dream,Burberry,LONDON DREAM,13221,4.8,"Тёплый мягкий аромат табачных листьев и сладкой ванили. Аромат средней насыщенности. Ноты специй и листьев табака в помещении постепенно раскрываются в богатый, деликатный аромат ванили и какао. Шлейф проявляется в полупрозрачных нотах древесной коры и сухофруктов.В закрытом пространстве TOBACCO VANILLA распространяется плавно, пик аромата наиболее выражен в первые минуты нахождения в помещении. Вам подойдёт TOBACCO VANILLA, если в аромате вы цените легкость, сладость и ненавязчивость, а также если вы хотите придать помещению солидность и роскошь. Аромат идеально подойдёт для прихожей и спальни, а также станет отличным дополнением для тёмного современного интерьера.","Наполните стеклянный флакон арома жидкостью из пластикового рефила. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.","страна происхождения Россия изготовитель: ООО Бентус Лаборатории, Россия, г.Москва, ул. Радио, дом 24,корпус 1, помещение Х, info@bentuslab.ru, +7-495-120-72-72 Продавец КАОРИ СТОР ООО ОГРН / ОГРНИП 1197746272580 Юридический адрес Москва, вн.тер. г. Муниципальный Округ Дорогомилово, пр-кт Кутузовский, дом 36, строение 6, помещение 2/1"
https://goldapple.ru/19000322606-rouge,Karl lagerfeld,ROUGE,7558,Рейтинг отсутствует,"Теплый таинственный аромат, вдохновленный богатой роскошью украшений бренда Chopard. Утонченный и притягательный, этот драгоценный эликсир пробуждает загадочную чувственность, которая излучает золотую энергию солнца.Будучи драгоценным камнем, янтарь очаровывал людей на протяжении веков своей гипнотической красотой.В парфюмерии его ароматический характер напоминает дурманящую экзотику Ближнего Востока. Золотой янтарь является соблазнительной срединной нотой аромата, его сложные грани раскрытые дымной элегантностью древесного папируса, богатыми и пряными нотами ладана и сладострастием цветка апельсинового дерева.Бархатный, мягкий, ванильный бурбон и цитрус завершают аромат, создавая захватывающую, утонченную подпись его обладателя.",Только для наружного применения.,"страна происхождения Италия изготовитель: ""PFCH LUXE SA"", адрес: Rue du Parc 3 BIS, 1207, Geneva, Швейцария"
https://goldapple.ru/19000006161-icon-metal-rain,BANANA REPUBLIC,METAL RAIN,6229,4.6,"Погрузитесь в мир притяжения с BOSS The Scent Magnetic для нее — захватывающей парфюмерной водой, которая воплощает в себе магнетическую силу, соединяющую сильные пары. Бренд HUGO BOSS известен своим уникальным подходом к созданию ароматов, которые подчеркивают уверенность и элегантность.Этот аромат, играющий на контрастах и двойственности, представляет собой соблазнительную интерпретацию оригинального BOSS The Scent. Он сочетает в себе амбровые и мускусные ноты, создавая магнетическое притяжение, которое завораживает всех вокруг. Композиция открывается темными, бархатистыми нотами цветка османтуса, которые переплетаются с мощным и чувственным белым мускусом. Напряжение усиливается обволакивающей нотой семян амбретты, закрепляя аромат в пленительном объятии, которое захватывает чувства.BOSS The Scent Magnetic для нее переосмысляет чувственную силу в эффектном флаконе, украшенном крупным логотипом BOSS на глубоко-фиолетовом лакированном стекле и монограммированной крышкой в ледяном золотом оттенке. Многофасеточная форма флакона отражает сенсорное противостояние внутри этого захватывающего аромата, подчеркивая многогранность сильной пары.Наносите BOSS The Scent Magnetic Eau de Parfum для нее на точки пульса, чтобы продлить стойкость этого притягательного аромата для женщин.",Распылите с расстояния 20-30 см на точки пульса или создайте ароматное облако и войдите в него для более легкого и равномерного нанесения.,"страна происхождения Франция изготовитель: «FRAGRANCE PRODUCTION SAS», адрес: ZI EDMOND POILLOT B.P. 855, 28011 CHARTRES, Франция"
